Time;RR;SBP;DBP;HR
1.67;860;126.159668;74.85961914;69.7674418604651
2.53;860;124.8474121;73.02856445;69.7674418604651
3.42;890;125.1525879;74.52392578;67.4157303370787
4.29;870;124.9694824;71.80786133;68.9655172413793
5.12;830;121.7956543;71.44165039;72.289156626506
5.98;860;121.3684082;71.38061523;69.7674418604651
6.83;850;120.9106445;68.17626953;70.5882352941177
7.66;830;116.607666;67.1081543;72.289156626506
8.5;840;118.7438965;66.28417969;71.4285714285714
9.3;800;116.2109375;65.00244141;75
10.1;800;114.4714355;64.57519531;75
10.9;800;117.4316406;66.46728516;75
11.7;800;119.5068359;68.05419922;75
12.51;810;117.9504395;69.88525391;74.0740740740741
13.33;820;120.4528809;70.00732422;73.1707317073171
14.17;840;120.9716797;69.39697266;71.4285714285714
14.98;810;119.5068359;68.6340332;74.0740740740741
15.8;820;119.4458008;69.39697266;73.1707317073171
16.62;820;118.7744141;68.29833984;73.1707317073171
17.44;820;116.9433594;67.6574707;73.1707317073171
18.27;830;118.5302734;68.14575195;72.289156626506
19.09;820;119.1711426;68.81713867;73.1707317073171
19.87;780;118.2556152;69.27490234;76.9230769230769
20.67;800;120.880127;71.25854492;75
21.49;820;121.9177246;71.86889648;73.1707317073171
22.31;820;120.0866699;70.92285156;73.1707317073171
23.15;840;120.513916;71.38061523;71.4285714285714
24.01;860;121.673584;69.6105957;69.7674418604651
24.86;850;121.673584;69.6105957;70.5882352941177
25.7;840;116.4855957;69.6105957;71.4285714285714
26.55;850;114.7155762;65.39916992;70.5882352941177
27.37;820;113.7084961;65.64331055;73.1707317073171
28.17;800;112.3657227;66.65039063;75
28.99;820;114.5324707;68.20678711;73.1707317073171
29.82;830;114.9291992;68.17626953;72.289156626506
30.64;820;113.5559082;67.96264648;73.1707317073171
31.5;860;115.4174805;68.66455078;69.7674418604651
32.37;869.999999999996;116.027832;68.05419922;68.9655172413796
33.22;850.000000000004;113.494873;66.49780273;70.5882352941173
34.08;860;113.861084;67.01660156;69.7674418604651
34.94;860;113.3422852;64.75830078;69.7674418604651
35.76;820;111.3586426;65.09399414;73.1707317073171
36.58;820;111.5722656;66.55883789;73.1707317073171
37.41;830;114.7155762;67.47436523;72.289156626506
38.23;820;114.7155762;68.48144531;73.1707317073171
39.05;820;116.1193848;70.86181641;73.1707317073171
39.9;850;120.8190918;72.29614258;70.5882352941177
40.75;850;120.5749512;72.05200195;70.5882352941177
41.59;840;119.6899414;72.75390625;71.4285714285714
42.46;870;122.2229004;70.67871094;68.9655172413793
43.33;870;122.1923828;71.35009766;68.9655172413793
44.19;860;120.6970215;71.31958008;69.7674418604651
45.05;860;121.6125488;69.18334961;69.7674418604651
45.88;830;118.4387207;68.20678711;72.289156626506
46.73;850;118.1030273;66.92504883;70.5882352941177
47.58;850;119.720459;65.79589844;70.5882352941177
48.42;840;119.8730469;67.32177734;71.4285714285714
49.24;820;117.9199219;67.90161133;73.1707317073171
50.06;820;122.1618652;69.79370117;73.1707317073171
50.87;810;122.5891113;70.43457031;74.0740740740741
51.66;790;123.626709;74.31030273;75.9493670886076
52.47;810;128.2348633;76.62963867;74.0740740740741
53.29;820;128.8757324;75.62255859;73.1707317073171
54.11;820;127.9602051;76.08032227;73.1707317073171
54.94;830;129.9438477;75.65307617;72.289156626506
55.8;860;130.3710938;74.70703125;69.7674418604651
56.62;820;126.0986328;72.5402832;73.1707317073171
57.45;830;125.4882813;72.14355469;72.289156626506
58.29;840;126.3427734;70.22094727;71.4285714285714
59.12;830;123.7182617;68.38989258;72.289156626506
59.93;810;121.7041016;69.24438477;74.0740740740741
60.74;810;122.5585938;68.23730469;74.0740740740741
61.53;790;122.2839355;69.00024414;75.9493670886076
62.31;780;121.3989258;70.61767578;76.9230769230769
63.1;790;124.3896484;71.65527344;75.9493670886076
63.9;800;123.9013672;73.85253906;75
64.68;780.000000000007;124.0539551;73.05908203;76.9230769230762
65.49;809.999999999985;126.5869141;73.97460938;74.0740740740754
66.33;840.000000000007;125.8239746;73.36425781;71.4285714285708
67.16;830;122.9248047;71.0144043;72.289156626506
68.01;850;122.9248047;71.0144043;70.5882352941177
68.89;880;118.1030273;71.0144043;68.1818181818182
69.76;870;117.5537109;64.91088867;68.9655172413793
70.6;840;115.4174805;64.7277832;71.4285714285714
71.44;840;117.8894043;65.39916992;71.4285714285714
72.25;810;117.5231934;67.47436523;74.0740740740741
73.02;770;119.0490723;71.35009766;77.9220779220779
73.84;820;124.1149902;75.04272461;73.1707317073171
74.69;850;126.1291504;76.04980469;70.5882352941177
75.55;860;126.3122559;74.55444336;69.7674418604651
76.44;890;127.3193359;75.74462891;67.4157303370787
77.34;900;127.9296875;73.66943359;66.6666666666667
78.24;900;124.7558594;71.38061523;66.6666666666667
79.13;890;123.0773926;70.64819336;67.4157303370787
80.03;900;123.4436035;69.09179688;66.6666666666667
80.9;870;120.2697754;67.26074219;68.9655172413793
81.75;850;117.6452637;67.77954102;70.5882352941177
82.59;840;119.4763184;68.38989258;71.4285714285714
83.43;840;120.5749512;70.15991211;71.4285714285714
84.28;850;122.1008301;72.41821289;70.5882352941177
85.17;890;127.4108887;73.12011719;67.4157303370787
86.11;940;127.4719238;73.36425781;63.8297872340426
87.04;930;125.2746582;69.45800781;64.5161290322581
88.01;970;124.8474121;70.3125;61.8556701030928
88.98;970;123.3215332;67.99316406;61.8556701030928
89.89;910;120.1171875;66.89453125;65.9340659340659
90.81;920;120.7580566;67.62695313;65.2173913043478
91.74;930;121.2463379;67.93212891;64.5161290322581
92.62;880;120.513916;67.84057617;68.1818181818182
93.51;890;121.673584;69.79370117;67.4157303370787
94.43;920;122.1923828;70.43457031;65.2173913043478
95.34;910;122.2839355;68.90869141;65.9340659340659
96.25;910;122.5585938;70.52612305;65.9340659340659
97.18;930;124.2675781;70.0378418;64.5161290322581
98.11;930;121.4904785;68.38989258;64.5161290322581
99.06;950;121.2768555;67.16918945;63.1578947368421
100.02;960;121.4904785;66.71142578;62.5
100.96;940;120.6054688;64.54467773;63.8297872340426
101.86;900;117.0043945;66.19262695;66.6666666666667
102.76;900;119.934082;68.38989258;66.6666666666667
103.67;910;121.1547852;68.57299805;65.9340659340659
104.55;880;118.927002;68.20678711;68.1818181818182
105.44;890;121.09375;68.93920898;67.4157303370787
106.33;890;120.9411621;70.3125;67.4157303370787
107.21;880;119.9951172;69.73266602;68.1818181818182
108.1;890;121.2768555;69.42749023;67.4157303370787
108.98;880;120.7275391;68.14575195;68.1818181818182
109.83;850;118.4997559;67.81005859;70.5882352941177
110.69;860;120.300293;67.62695313;69.7674418604651
111.55;860;121.9177246;68.57299805;69.7674418604651
112.41;860;119.2626953;69.70214844;69.7674418604651
113.29;880;121.3989258;68.42041016;68.1818181818182
114.16;870;120.300293;69.12231445;68.9655172413793
114.96;800;118.0725098;68.54248047;75
115.77;810;119.4152832;70.49560547;74.0740740740741
116.6;830;122.253418;70.83129883;72.289156626506
117.42;820;121.6125488;70.77026367;73.1707317073171
118.25;830;123.840332;71.13647461;72.289156626506
119.1;850;124.6948242;71.16699219;70.5882352941177
119.91;810;119.5983887;70.5871582;74.0740740740741
120.74;830;120.6665039;70.55664063;72.289156626506
121.57;830;121.8566895;69.97680664;72.289156626506
122.38;810;121.8566895;69.97680664;74.0740740740741
123.22;840;122.833252;69.97680664;71.4285714285714
124.07;850;124.6032715;71.74682617;70.5882352941177
124.94;870;123.9624023;71.25854492;68.9655172413793
125.82;880;121.7956543;70.19042969;68.1818181818182
126.71;890;121.4599609;68.69506836;67.4157303370787
127.59;880;119.6899414;68.11523438;68.1818181818182
128.47;880;117.2790527;67.13867188;68.1818181818182
129.36;890.000000000015;118.8354492;66.83349609;67.4157303370775
130.23;869.999999999971;119.9645996;67.53540039;68.9655172413816
131.08;850.000000000015;117.8894043;68.57299805;70.5882352941164
131.93;850;120.300293;70.52612305;70.5882352941177
132.78;850;120.8496094;70.83129883;70.5882352941177
133.62;840;119.3847656;70.52612305;71.4285714285714
134.48;860;120.5749512;71.50268555;69.7674418604651
135.34;860;121.3684082;69.42749023;69.7674418604651
136.19;850;119.4763184;69.36645508;70.5882352941177
137.05;860;118.7133789;69.76318359;69.7674418604651
137.92;870;120.3613281;67.53540039;68.9655172413793
138.77;850;119.3237305;67.32177734;70.5882352941177
139.6;830;117.767334;67.71850586;72.289156626506
140.44;840;119.3237305;69.24438477;71.4285714285714
141.28;840;120.1477051;70.0378418;71.4285714285714
142.1;820;118.5913086;69.39697266;73.1707317073171
142.92;820;120.2697754;70.5871582;73.1707317073171
143.73;810;121.1853027;70.73974609;74.0740740740741
144.53;800;120.5749512;70.09887695;75
145.34;810;120.300293;71.59423828;74.0740740740741
146.16;820;122.5280762;70.67871094;73.1707317073171
146.98;820;120.8496094;70.80078125;73.1707317073171
147.8;820;119.4152832;69.73266602;73.1707317073171
148.63;830;120.7580566;69.27490234;72.289156626506
149.45;820;119.1711426;68.84765625;73.1707317073171
150.26;810;117.9504395;68.81713867;74.0740740740741
151.07;810;119.5678711;69.12231445;74.0740740740741
151.88;810;119.5678711;69.67163086;74.0740740740741
152.69;810;118.5913086;70.40405273;74.0740740740741
153.52;830;121.3989258;71.50268555;72.289156626506
154.35;830;122.4975586;70.86181641;72.289156626506
155.15;800;120.6054688;69.97680664;75
155.95;800;120.5444336;71.16699219;75
156.77;820;121.8261719;69.67163086;73.1707317073171
157.55;780;119.8425293;69.36645508;76.9230769230769
158.33;780;119.6899414;70.15991211;76.9230769230769
159.13;800;122.3144531;70.46508789;75
159.92;790;121.887207;70.83129883;75.9493670886076
160.7;780;121.2768555;71.25854492;76.9230769230769
161.47;770;123.3215332;71.53320313;77.9220779220779
162.26;790;123.5046387;72.57080078;75.9493670886076
163.04;780;124.1455078;73.02856445;76.9230769230769
163.85;810;126.739502;75.98876953;74.0740740740741
164.69;840;129.1809082;75.92773438;71.4285714285714
165.48;790;126.0375977;74.12719727;75.9493670886076
166.3;820;126.7700195;74.46289063;73.1707317073171
167.16;860;127.2277832;72.47924805;69.7674418604651
168.01;850;124.3896484;70.43457031;70.5882352941177
168.83;820;122.9553223;69.18334961;73.1707317073171
169.67;840;124.6337891;69.09179688;71.4285714285714
170.48;810;121.7346191;67.68798828;74.0740740740741
171.26;780;119.5678711;68.17626953;76.9230769230769
172.04;780;121.0021973;67.71850586;76.9230769230769
172.82;780;121.3989258;70.09887695;76.9230769230769
173.57;750;120.2697754;70.28198242;80
174.35;780;122.5891113;72.81494141;76.9230769230769
175.14;790;124.5117188;72.57080078;75.9493670886076
175.92;780;123.0773926;72.11303711;76.9230769230769
176.71;790;123.5351563;73.76098633;75.9493670886076
177.53;820;126.3122559;73.97460938;73.1707317073171
178.36;830;126.1901855;73.45581055;72.289156626506
179.2;840;123.3215332;72.05200195;71.4285714285714
180.07;870;124.6032715;69.79370117;68.9655172413793
183.42;1070;128.2958984;79.16259766;56.0747663551402
184.34;670;115.6005859;66.77246094;89.5522388059701
185;660;112.121582;63.81225586;90.9090909090909
185.64;640;105.3771973;56.27441406;93.75
186.28;640;101.9287109;52.64282227;93.75
186.91;630;100.9216309;51.66625977;95.2380952380952
187.53;620;97.44262695;51.57470703;96.7741935483871
188.14;610;92.68188477;49.22485352;98.3606557377049
188.74;600;91.18652344;48.18725586;100
189.34;600;92.4987793;49.04174805;100
189.92;580;90.24047852;49.1027832;103.448275862069
190.49;570;90.24047852;50.87280273;105.263157894737
191.04;550;88.37890625;51.78833008;109.090909090909
191.6;560;87.12768555;55.51147461;107.142857142857
192.15;550;94.75708008;55.51147461;109.090909090909
192.7;550;107.9406738;55.51147461;109.090909090909
193.27;570;116.394043;55.51147461;105.263157894737
193.83;560;120.1782227;55.51147461;107.142857142857
194.4;570;125.9155273;76.59912109;105.263157894737
194.96;560;128.2653809;79.13208008;107.142857142857
195.54;580;130.1269531;80.26123047;103.448275862069
196.14;600;131.8359375;81.14624023;100
196.79;650;132.2631836;78.85742188;92.3076923076923
197.46;670;133.605957;78.46069336;89.5522388059701
198.17;710;136.1083984;77.4230957;84.5070422535211
198.92;750;136.7492676;77.45361328;80
199.7;780;134.9487305;76.29394531;76.9230769230769
200.48;780;130.4016113;72.72338867;76.9230769230769
201.27;790;129.5471191;71.9909668;75.9493670886076
202.05;780;130.5847168;71.10595703;76.9230769230769
202.83;780;127.8381348;71.10595703;76.9230769230769
203.58;750;125.1831055;70.80078125;80
204.33;750;126.2817383;72.90649414;80
205.08;750;128.4790039;73.88305664;80
205.82;740;127.8686523;76.01928711;81.0810810810811
206.54;720;125.9765625;76.01928711;83.3333333333333
207.26;720;127.8076172;77.57568359;83.3333333333333
208;740;130.9814453;79.28466797;81.0810810810811
208.73;730;127.8991699;78.00292969;82.1917808219178
209.45;720;125.8544922;76.50756836;83.3333333333333
210.16;710;127.5939941;76.50756836;84.5070422535211
210.88;720;127.532959;77.63671875;83.3333333333333
211.58;700;125.3662109;77.39257813;85.7142857142857
212.27;690;122.5280762;76.35498047;86.9565217391304
212.95;680;125.7324219;77.05688477;88.2352941176471
213.62;670;128.7536621;78.52172852;89.5522388059701
214.29;670;127.9296875;78.33862305;89.5522388059701
214.99;700;129.2724609;81.42089844;85.7142857142857
215.69;700;129.7302246;80.53588867;85.7142857142857
216.4;710;128.8146973;79.34570313;84.5070422535211
217.11;710;125.5187988;77.51464844;84.5070422535211
217.81;700;123.6877441;75.37841797;85.7142857142857
218.5;690;124.6337891;74.55444336;86.9565217391304
219.19;690;123.626709;75.01220703;86.9565217391304
219.87;680;120.6359863;74.40185547;88.2352941176471
220.55;680;119.354248;73.85253906;88.2352941176471
221.23;680;121.1853027;72.23510742;88.2352941176471
221.91;680;124.3591309;74.79858398;88.2352941176471
222.58;670;122.1923828;74.18823242;89.5522388059701
223.25;670;122.0703125;75.31738281;89.5522388059701
223.93;680;125.9155273;76.53808594;88.2352941176471
224.62;690;125.8239746;77.17895508;86.9565217391304
225.31;690;125.6713867;76.84326172;86.9565217391304
226.01;700;122.9858398;76.81274414;85.7142857142857
226.71;700;124.2980957;75.77514648;85.7142857142857
227.42;710;123.1079102;74.82910156;84.5070422535211
228.12;700;119.934082;74.27978516;85.7142857142857
228.82;700;119.5068359;74.55444336;85.7142857142857
229.51;690;120.9106445;74.46289063;86.9565217391304
230.19;680;120.9106445;74.46289063;88.2352941176471
230.88;690;120.9106445;74.46289063;86.9565217391304
231.55;670;121.1242676;75.22583008;89.5522388059701
232.22;670;122.7111816;77.81982422;89.5522388059701
232.88;660;128.0212402;78.67431641;90.9090909090909
233.56;680;128.7231445;79.86450195;88.2352941176471
234.23;670;129.5166016;82.67211914;89.5522388059701
234.89;660;126.8310547;83.89282227;90.9090909090909
235.54;650;124.8168945;80.50537109;92.3076923076923
236.18;640;122.467041;78.125;93.75
236.83;650;121.6430664;77.75878906;92.3076923076923
237.48;650;121.7651367;75.07324219;92.3076923076923
238.14;660;122.3449707;73.5168457;90.9090909090909
238.78;640;116.8212891;72.17407227;93.75
239.43;650;116.9128418;71.68579102;92.3076923076923
240.07;640;119.4458008;74.00512695;93.75
240.72;650;120.8190918;75.28686523;92.3076923076923
241.38;660;118.9880371;74.98168945;90.9090909090909
242.03;650;119.9035645;73.60839844;92.3076923076923
242.69;660;120.9716797;72.93701172;90.9090909090909
243.35;660;124.4506836;77.36206055;90.9090909090909
244.02;670;123.5656738;78.03344727;89.5522388059701
244.68;660;121.3684082;76.69067383;90.9090909090909
245.33;650;123.3825684;75.86669922;92.3076923076923
245.99;660;123.4436035;76.08032227;90.9090909090909
246.66;670;122.0703125;77.69775391;89.5522388059701
247.31;650;119.140625;73.02856445;92.3076923076923
247.97;660;121.9177246;73.88305664;90.9090909090909
248.64;670;121.6125488;75.07324219;89.5522388059701
249.31;670;121.887207;75.86669922;89.5522388059701
249.99;680;118.2861328;73.9440918;88.2352941176471
250.66;670;117.8588867;73.85253906;89.5522388059701
251.33;670;119.8730469;74.15771484;89.5522388059701
252.01;680;121.1242676;74.79858398;88.2352941176471
252.69;680;119.4152832;74.15771484;88.2352941176471
253.35;660;119.6594238;73.63891602;90.9090909090909
254.03;680;121.2463379;76.26342773;88.2352941176471
254.71;680;121.7346191;76.47705078;88.2352941176471
255.38;670;119.7814941;76.75170898;89.5522388059701
256.05;670;119.4763184;76.171875;89.5522388059701
256.74;690;120.9716797;76.23291016;86.9565217391304
257.43;690;121.09375;76.50756836;86.9565217391304
258.12;690;120.5749512;76.23291016;86.9565217391304
258.8;680;121.2463379;76.59912109;88.2352941176471
259.48;680.000000000029;121.307373;77.54516602;88.2352941176433
260.15;669.999999999942;117.5537109;75.07324219;89.5522388059779
260.83;680;117.7062988;74.89013672;88.2352941176471
261.51;680.000000000029;119.4152832;74.64599609;88.2352941176433
262.19;680;120.513916;76.66015625;88.2352941176471
262.87;680;118.4692383;75.74462891;88.2352941176471
263.56;690;117.7978516;74.34082031;86.9565217391304
264.25;690;119.9645996;74.64599609;86.9565217391304
264.95;700;119.9035645;74.40185547;85.7142857142857
265.64;690;116.394043;71.44165039;86.9565217391304
266.31;670;116.973877;71.47216797;89.5522388059701
266.97;660;120.2392578;73.02856445;90.9090909090909
267.63;660;122.0397949;76.08032227;90.9090909090909
268.28;650;121.2463379;77.60620117;92.3076923076923
268.93;650;121.673584;77.30102539;92.3076923076923
269.59;660;123.4741211;77.05688477;90.9090909090909
270.26;670;124.5422363;77.54516602;89.5522388059701
270.95;690;123.6572266;78.33862305;86.9565217391304
271.65;700;121.9177246;77.1484375;85.7142857142857
272.35;700;120.9106445;75.98876953;85.7142857142857
273.06;710;121.1547852;74.40185547;84.5070422535211
273.76;700;119.5983887;74.27978516;85.7142857142857
274.44;680;116.7297363;72.05200195;88.2352941176471
275.12;680;115.8752441;71.80786133;88.2352941176471
275.8;680;118.0725098;72.29614258;88.2352941176471
276.47;670;116.973877;74.09667969;89.5522388059701
277.13;660;115.6921387;72.93701172;90.9090909090909
277.8;670;116.607666;73.88305664;89.5522388059701
278.46;660;116.607666;73.88305664;90.9090909090909
279.13;670;110.9313965;73.88305664;89.5522388059701
279.8;670;123.1689453;78.27758789;89.5522388059701
280.48;680;125.3967285;80.41381836;88.2352941176471
281.17;690;126.8615723;81.3293457;86.9565217391304
281.87;700;124.0539551;79.43725586;85.7142857142857
282.57;700;122.9248047;77.33154297;85.7142857142857
283.28;710;124.1455078;77.66723633;84.5070422535211
283.99;710;123.4130859;78.06396484;84.5070422535211
